TID;ALDER;KØN;INDHOLD
2021Q2;86 years;Women;11388
2021Q2;87 years;Men;6495
2021Q2;87 years;Women;9949
2021Q2;88 years;Men;5257
2021Q2;88 years;Women;8622
2021Q2;89 years;Men;4243
2021Q2;89 years;Women;7629
2021Q2;90 years;Men;3419
2021Q2;90 years;Women;6584
2021Q2;91 years;Men;2691
2021Q2;91 years;Women;5410
2021Q2;92 years;Men;2182
2021Q2;92 years;Women;4776
2021Q2;93 years;Men;1559
2021Q2;93 years;Women;3800
2021Q2;94 years;Men;1173
2021Q2;94 years;Women;3157
2021Q2;95 years;Men;812
2021Q2;95 years;Women;2528
2021Q2;96 years;Men;554
2021Q2;96 years;Women;1920
2021Q2;97 years;Men;356
2021Q2;97 years;Women;1386
2021Q2;98 years;Men;205
2021Q2;98 years;Women;958
2021Q2;99 years;Men;124
2021Q2;99 years;Women;662
2021Q2;100 years;Men;70
2021Q2;100 years;Women;452
2021Q2;101 years;Men;60
2021Q2;101 years;Women;271
2021Q2;102 years;Men;25
2021Q2;102 years;Women;143
2021Q2;103 years;Men;12
2021Q2;103 years;Women;78
2021Q2;104 years;Men;6
2021Q2;104 years;Women;49
2021Q2;105 years;Men;3
2021Q2;105 years;Women;27
2021Q2;106 years;Men;2
2021Q2;106 years;Women;13
2021Q2;107 years;Men;0
2021Q2;107 years;Women;7
2021Q2;108 years;Men;0
2021Q2;108 years;Women;4
2021Q2;109 years;Men;0
2021Q2;109 years;Women;0
2021Q2;110 years;Men;0
2021Q2;110 years;Women;1
